dataset,mae_mean,mae_std,mse_mean,mse_std,pred_mean_mean,pred_mean_std,rmse_mean,rmse_std,selection_kind,source_name,source_type,spearman_mean,spearman_std,status,target_mean_mean,target_mean_std,target_name,top_10p_capture_mean,top_10p_capture_std,top_20p_capture_mean,top_20p_capture_std
gpqa,0.2155585534865815,,0.05952036986012561,,0.4454221020769409,,0.24396796892240918,,,prompt_length,metadata_baseline,-0.11643289508743643,,complete,0.26311333333333337,,mean_relative_length,0.08106535206628322,,0.17695479767907366,
gpqa,0.22297324074074076,,0.0627179454782236,,0.4542087962962963,,0.25043551161571237,,,effective_budget,metadata_baseline,,,complete,0.26311333333333337,,mean_relative_length,0.06664824410266804,,0.2151560164187802,
gpqa,0.21555855348658154,,0.059520369860125634,,0.4454221020769409,,0.24396796892240924,,,prompt_length_plus_effective_budget,metadata_baseline,-0.11643289508743643,,complete,0.26311333333333337,,mean_relative_length,0.08106535206628322,,0.17695479767907366,
gpqa,0.16701181195676326,0.008965066364507428,0.035460952401860334,0.0033422668876538367,0.37143197407325107,0.016806015908230287,0.18817311988211574,0.008817257710696799,best_loss,ensemble,probe,0.5412757973733584,0.08776056834868745,complete,0.2631133321672678,0.0,mean_relative_length,0.1432549644320316,0.014342024316173721,0.2956246123558841,0.03291081664372786
gpqa,0.1703973441074292,0.008974808805963174,0.03668354549572395,0.003397145215795131,0.37816122596462565,0.015229707339034376,0.19138890315895385,0.008986092866469097,best_rank,ensemble,probe,0.5803001876172608,0.08236525959846089,complete,0.2631133321672678,0.0,mean_relative_length,0.14709097516640082,0.02010782476845499,0.29277228186390747,0.034724844001471425
gpqa,0.1406952165067196,0.01127988474881821,0.028776800631710505,0.0018516895282808202,0.29254341262082256,0.05261818936999207,0.1695787755872943,0.005455204215872164,best_loss,last_layer,probe,0.1273921200750469,0.1090550242810881,complete,0.2631133321672678,0.0,mean_relative_length,0.10922864908677465,0.010015318865352127,0.22019450892575695,0.04656260957761528
gpqa,0.1406952165067196,0.01127988474881821,0.028776800631710505,0.0018516895282808202,0.29254341262082256,0.05261818936999207,0.1695787755872943,0.005455204215872164,best_rank,last_layer,probe,0.1273921200750469,0.1090550242810881,complete,0.2631133321672678,0.0,mean_relative_length,0.10922864908677465,0.010015318865352127,0.22019450892575695,0.04656260957761528
aime,0.14665969047888172,,0.030904068974678164,,0.585474049341362,,0.17579553172557646,,,prompt_length,metadata_baseline,0.6760080419465042,,complete,0.625576388888889,,mean_relative_length,0.22305651454769485,,0.30552268463528076,
aime,0.1696032118055555,,0.03839511882477935,,0.5879140625000003,,0.19594672445534614,,,effective_budget,metadata_baseline,,,complete,0.625576388888889,,mean_relative_length,0.09900869198405912,,0.16855233506876988,
aime,0.14665969047888172,,0.030904068974678168,,0.5854740493413618,,0.1757955317255765,,,prompt_length_plus_effective_budget,metadata_baseline,0.6760080419465042,,complete,0.625576388888889,,mean_relative_length,0.22305651454769485,,0.30552268463528076,
aime,0.1606088512473636,0.005500949476451518,0.0333653067567872,0.002049359416047587,0.6278969016340045,0.0037367022943476037,0.18260460565306133,0.005594383488441233,best_loss,ensemble,probe,0.6386946386946387,0.09018900756248531,complete,0.6255763868490855,0.0,mean_relative_length,0.20381536635232825,0.015274148570928988,0.30486920966444114,0.016920647927812935
