dataset,mae_mean,mae_std,mse_mean,mse_std,pred_mean_mean,pred_mean_std,rmse_mean,rmse_std,selection_kind,source_name,source_type,spearman_mean,spearman_std,status,target_mean_mean,target_mean_std,target_name,top_10p_capture_mean,top_10p_capture_std,top_20p_capture_mean,top_20p_capture_std
gpqa,0.1392830855668945,,0.027249516890163777,,0.29189086075129095,,0.16507427688820503,,,prompt_length,metadata_baseline,0.11643289508743643,,complete,0.26311333333333337,,mean_relative_length,0.07008307573415765,,0.16792747738617073,
gpqa,0.13844302215189874,,0.02709370757863268,,0.2930004219409283,,0.16460166335317722,,,effective_budget,metadata_baseline,,,complete,0.26311333333333337,,mean_relative_length,0.06664824410266804,,0.2151560164187802,
gpqa,0.1392830855668945,,0.02724951689016377,,0.29189086075129084,,0.165074276888205,,,prompt_length_plus_effective_budget,metadata_baseline,0.11643289508743643,,complete,0.26311333333333337,,mean_relative_length,0.07008307573415765,,0.16792747738617073,
gpqa,0.18366714902222156,0.020181654510524363,0.0428039024278167,0.009743564891243225,0.40898885155717535,0.03267498504218704,0.20600082282065987,0.023480739714534217,best_loss,ensemble,probe,0.5844277673545967,0.051644526556992254,complete,0.2631133321672678,0.0,mean_relative_length,0.16944271611233072,0.009228101963370712,0.3061983184902998,0.03907273971817753
gpqa,0.186021833991011,0.023966907847668188,0.04405898384612624,0.011759279888630682,0.413348620881637,0.039271240181529034,0.2086784475655862,0.027720643059183942,best_rank,ensemble,probe,0.5894308943089431,0.046103609587331326,complete,0.2631133321672678,0.0,mean_relative_length,0.16944271611233072,0.009228101963370712,0.3169670730743002,0.035781872674389315
gpqa,0.1432456196596225,0.016501217691846815,0.029463940057956228,0.0037161971306658723,0.30077023381988205,0.06349343766918716,0.17142710208105114,0.01072534824952777,best_loss,last_layer,probe,0.24602876797998752,0.054036485408859934,complete,0.2631133321672678,0.0,mean_relative_length,0.10123040585088827,0.009426231517834402,0.24588791655401043,0.03108446842473129
gpqa,0.1432456196596225,0.016501217691846815,0.029463940057956228,0.0037161971306658723,0.30077023381988205,0.06349343766918716,0.17142710208105114,0.01072534824952777,best_rank,last_layer,probe,0.24602876797998752,0.054036485408859934,complete,0.2631133321672678,0.0,mean_relative_length,0.10123040585088827,0.009426231517834402,0.24588791655401043,0.03108446842473129
aime,0.14665969047888172,,0.030904068974678164,,0.585474049341362,,0.17579553172557646,,,prompt_length,metadata_baseline,0.6760080419465042,,complete,0.625576388888889,,mean_relative_length,0.22305651454769485,,0.30552268463528076,
aime,0.1696032118055555,,0.03839511882477935,,0.5879140625000003,,0.19594672445534614,,,effective_budget,metadata_baseline,,,complete,0.625576388888889,,mean_relative_length,0.09900869198405912,,0.16855233506876988,
aime,0.14665969047888172,,0.030904068974678168,,0.5854740493413618,,0.1757955317255765,,,prompt_length_plus_effective_budget,metadata_baseline,0.6760080419465042,,complete,0.625576388888889,,mean_relative_length,0.22305651454769485,,0.30552268463528076,
aime,0.1656370609998703,0.002905050053198536,0.035040584883120264,0.0007563598763500143,0.6378990759452184,0.04027938053296609,0.1871839971828035,0.0020258634412788916,best_loss,ensemble,probe,0.7179487179487181,0.07671087492729299,complete,0.6255763868490855,0.0,mean_relative_length,0.1949968325632601,0.015274148570928988,0.30486920966444114,0.016920647927812935
aime,0.16666516827212438,0.002737206225181194,0.03573638572544737,0.0013593271624311636,0.6313800066709518,0.05693445472133478,0.1890176641305876,0.0036142161108105946,best_rank,ensemble,probe,0.7296037296037295,0.07734573437313319,complete,0.6255763868490855,0.0,mean_relative_length,0.1949968325632601,0.015274148570928988,0.3058198165113586,0.016160428536954565
aime,0.16496552692519295,0.0002600548379552561,0.03688535264240652,0.0008861345730238675,0.6000883181889852,0.030072939506877942,0.1920463941345786,0.0023027621390203567,best_loss,last_layer,probe,0.3613053613053614,0.1846648234996584,complete,0.6255763868490855,0.0,mean_relative_length,0.19403697962874775,0.03221081119222745,0.26788812922669736,0.03651738653130686
aime,0.16643410589959887,0.0022516417237393688,0.037874583440279164,0.0002480165508713285,0.5719319880008698,0.013720563604360168,0.19461323913366882,0.0006370959667863152,best_rank,last_layer,probe,0.5384615384615385,0.15384615384615385,complete,0.6255763868490855,0.0,mean_relative_length,0.21705871216130293,0.005386413947068184,0.3294546875885554,0.004371000518651545
math500,0.11532229906272601,,0.023806809946726286,,0.21102411598376844,,0.15429455579094903,,,prompt_length,metadata_baseline,0.4609147657183268,,complete,0.2145361666666667,,mean_relative_length,0.1511516706196391,,0.2898497300765916,
math500,0.12245172500000001,,0.026734369062059456,,0.20026343750000003,,0.16350648018369013,,,effective_budget,metadata_baseline,,,complete,0.2145361666666667,,mean_relative_length,0.127894519727443,,0.23149554426332153,
math500,0.11532229906272601,,0.023806809946726286,,0.21102411598376836,,0.15429455579094903,,,prompt_length_plus_effective_budget,metadata_baseline,0.4609147657183268,,complete,0.2145361666666667,,mean_relative_length,0.1511516706196391,,0.2898497300765916,
math500,0.18198000653336446,0.03607057426447109,0.040213776956955355,0.013688118897204893,0.3656769103805224,0.04593092446561789,0.1985521450643054,0.034441747501797286,best_loss,ensemble,probe,0.7599919991999199,0.007644079918946573,complete,0.21453616674989462,0.0,mean_relative_length,0.18557542003037567,0.0034249159685097257,0.3365636869751852,0.01113470545972818
math500,0.18321023477862278,0.03621730183121487,0.04087644116760245,0.013682155366609446,0.365995957950751,0.04595704646111035,0.20019942430215054,0.03456801288814456,best_rank,ensemble,probe,0.7604520452045204,0.007488655916296828,complete,0.21453616674989462,0.0,mean_relative_length,0.18528979081571642,0.0030760434870182357,0.34175965140633896,0.002180133899694659
math500,0.1706532435491681,0.03351877256748975,0.03739945120637255,0.012549487471874064,0.333541534692049,0.05879696700574038,0.19169732636899559,0.03126306773218216,best_loss,last_layer,probe,0.5492429242924292,0.26012900287156754,complete,0.21453616674989462,0.0,mean_relative_length,0.15740896898244072,0.02549811761699372,0.30454655335503117,0.04608047345477733
math500,0.17386401522904635,0.03907650717393763,0.0387832697549531,0.014946053227161462,0.338169431835413,0.06635303160003714,0.19467637194392404,0.036422107881835857,best_rank,last_layer,probe,0.5515911591159116,0.2622540233795928,complete,0.21453616674989462,0.0,mean_relative_length,0.16141839388293533,0.025842386469952683,0.30454655335503117,0.04608047345477733
mmlu_pro,0.09600185251193427,,0.015765427747345184,,0.12632237314210762,,0.12556045455216058,,,prompt_length,metadata_baseline,0.39305748822881714,,complete,0.12173562499999999,,mean_relative_length,0.16926023093075673,,0.2916510505176005,
mmlu_pro,0.09842493326822917,,0.017519734610823737,,0.11895332031249997,,0.13236213435429234,,,effective_budget,metadata_baseline,,,complete,0.12173562499999999,,mean_relative_length,0.12946300983517903,,0.2223585604734303,
