dataset,dataset_name,bucket,num_rows,prompt_token_min,prompt_token_max,prompt_token_mean,mean_relative_length_mean,length_vs_target_spearman,shape_vs_target_spearman,ensemble_vs_target_spearman,last_layer_vs_target_spearman,mean_newline_count,mean_dollar_count,mean_choice_count
gpqa,GPQA,1,10,109.0,180.0,153.4,0.19746000000000002,-0.40606060606060607,0.40606060606060607,0.5515151515151515,0.24848484848484848,12.5,0.2,4.0
gpqa,GPQA,2,10,181.0,230.0,207.1,0.25932416666666663,-0.04242424242424243,0.5757575757575758,0.6242424242424243,0.47878787878787876,12.7,0.6,4.0
gpqa,GPQA,3,10,234.0,264.0,247.5,0.37718083333333335,-0.18349396085439343,0.296969696969697,0.06666666666666667,0.05454545454545454,13.3,0.0,4.0
gpqa,GPQA,4,10,283.0,916.0,406.7,0.21848833333333334,-0.2606060606060606,0.22424242424242424,0.5515151515151515,0.7090909090909091,14.6,1.4,4.0
aime,AIME,1,4,66.0,74.0,70.5,0.42156666666666665,-0.10540925533894598,0.4,0.4,-0.4,5.0,8.5,0.0
aime,AIME,2,2,94.0,97.0,95.5,0.6741583333333334,-1.0,-1.0,-1.0,-1.0,5.0,9.0,0.0
aime,AIME,3,3,109.0,161.0,129.66666666666666,0.7262666666666666,-0.5,-0.5,0.5,0.5,6.333333333333333,24.0,0.0
aime,AIME,4,3,170.0,597.0,336.3333333333333,0.7645111111111111,0.5,-0.5,-0.5,0.5,5.0,37.333333333333336,0.0
math500,MATH-500,1,26,31.0,53.0,42.80769230769231,0.12514743589743588,-0.09590700354995435,0.18741451164419495,0.37982905982905985,-0.14871794871794872,5.0,2.6153846153846154,0.0
math500,MATH-500,2,24,54.0,76.0,64.41666666666667,0.21360104166666663,0.21911997974222822,0.331304347826087,0.6617391304347826,0.33043478260869563,5.291666666666667,5.583333333333333,0.0
math500,MATH-500,3,25,78.0,105.0,90.92,0.19493700000000003,-0.0011585343359169092,0.41846153846153844,0.21076923076923076,0.4938461538461538,5.72,8.0,0.0
math500,MATH-500,4,25,111.0,685.0,196.32,0.3279973333333333,-0.09853736561059885,0.07923076923076923,0.17692307692307693,0.26692307692307693,13.24,11.04,0.0
mmlu_pro,MMLU-Pro,1,41,121.0,189.0,163.0,0.07533109756097561,0.18181028759742002,0.16429287005435614,0.10627177700348432,0.13501742160278746,16.902439024390244,3.341463414634146,9.902439024390244
mmlu_pro,MMLU-Pro,2,41,190.0,222.0,207.5609756097561,0.09482052845528455,0.34650958781937524,0.1885263770072172,0.37926829268292683,0.030662020905923345,16.853658536585368,9.560975609756097,9.853658536585366
mmlu_pro,MMLU-Pro,3,38,223.0,265.0,237.42105263157896,0.13650570175438598,0.0429011927797837,0.2121676332202648,0.08567676988729621,0.05525768683663421,16.842105263157894,7.026315789473684,9.842105263157896
mmlu_pro,MMLU-Pro,4,40,274.0,893.0,395.4,0.18285666666666667,0.29136960600375233,0.22017918313072465,0.36791744840525326,-0.06697936210131332,17.375,16.1,10.0
livecodebench,LiveCodeBench,1,40,250.0,418.0,351.05,0.2355875,0.22246200429213214,0.4155722326454034,0.874296435272045,0.8908067542213883,52.625,0.0,0.0
livecodebench,LiveCodeBench,2,41,422.0,529.0,466.5853658536585,0.39024634146341464,0.4084869270255907,0.046167247386759584,0.8261324041811847,0.7921602787456447,56.41463414634146,0.0,0.0
livecodebench,LiveCodeBench,3,39,543.0,662.0,591.3589743589744,0.5470463675213676,0.04940521545235181,0.12834008097165991,0.5856275303643724,0.4874493927125506,70.92307692307692,0.0,0.0
livecodebench,LiveCodeBench,4,40,671.0,1678.0,852.975,0.46209875,0.43344440004967477,0.1621089171068991,0.6924953095684803,0.7318949343339587,84.175,0.0,0.0
