dataset,dataset_name,model_name,mse,mae,rmse,target_mean,pred_mean,pearson,spearman,top_10p_capture,top_20p_capture
gpqa,GPQA,prompt_length,0.027249516890163777,0.1392830855668945,0.16507427688820503,0.26311333333333337,0.29189086075129095,-0.06894536101331497,0.11643289508743641,0.07008307573415765,0.16792747738617073
gpqa,GPQA,shape_linear,0.02517739911902254,0.13247934260169636,0.1586738766118183,0.26311333333333337,0.27946133817582036,0.2221844372862801,0.4056285178236398,0.09200249575594799,0.18353782907238958
gpqa,GPQA,shape_tree,0.02390341746487613,0.12041058642694055,0.15460730081362953,0.26311333333333337,0.28512104409413047,0.5136696646977856,0.5176603035855725,0.1536362657409988,0.2838882800820939
gpqa,GPQA,last_layer,0.02636098672151202,0.12740322675844032,0.16236066864087503,0.26311333333333337,0.2415427939345439,0.12728351823384973,0.2898686679174484,0.06556347708211924,0.1951788836242937
gpqa,GPQA,ensemble,0.02560343754058477,0.12501252479235334,0.160010741953735,0.26311333333333337,0.23548278386394186,0.4996019624718621,0.5365853658536586,0.152690855651557,0.2404532584184255
gpqa,GPQA,shape_tree_plus_last_layer,0.03134740928704998,0.13766549018548752,0.17705199599849186,0.26311333333333337,0.2919035712474584,0.49410810909873953,0.5158687720112349,0.1536362657409988,0.2838882800820939
gpqa,GPQA,shape_tree_plus_ensemble,0.03051820038722164,0.137165043624398,0.17469459175149538,0.26311333333333337,0.29105872616966044,0.5030477495254545,0.5278875566521956,0.17003445916841917,0.2838882800820939
aime,AIME,prompt_length,0.030904068974678196,0.14665969047888172,0.17579553172557658,0.625576388888889,0.5854740493413617,0.4557682593648168,0.6760080419465041,0.22305651454769485,0.30552268463528076
aime,AIME,shape_linear,0.025427116574528296,0.12684634484349114,0.15945882407232376,0.625576388888889,0.5672767091332365,0.6584698579075651,0.6293706293706294,0.22305651454769485,0.30552268463528076
aime,AIME,shape_tree,0.049435255119312925,0.18593190667762236,0.2223404037041242,0.625576388888889,0.6025063457339677,0.24984692140141557,0.23076923076923078,0.1762163782289666,0.2851381503724343
aime,AIME,last_layer,0.03526745368799958,0.16077359380192224,0.18779630903721078,0.625576388888889,0.6084078417883978,0.540550164645818,0.5664335664335665,0.21263390428826745,0.32440749086953136
aime,AIME,ensemble,0.033295117964445335,0.16060884576903448,0.1824694987236095,0.625576388888889,0.6278969016340044,0.7533660505633134,0.7132867132867133,0.21263390428826745,0.2951000743758533
aime,AIME,shape_tree_plus_last_layer,0.052645762642575665,0.19013181705442972,0.2294466444352056,0.625576388888889,0.6007571972429467,0.31461757434125176,0.25874125874125875,0.1762163782289666,0.2851381503724343
aime,AIME,shape_tree_plus_ensemble,0.05219227412654049,0.18780077074081716,0.22845628493552217,0.625576388888889,0.6007156640457169,0.3047859630666018,0.23076923076923078,0.1762163782289666,0.2851381503724343
math500,MATH-500,prompt_length,0.023806809946726286,0.115322299062726,0.15429455579094903,0.2145361666666667,0.21102411598376836,0.34642114331386586,0.4609147657183268,0.1511516706196391,0.2898497300765916
math500,MATH-500,shape_linear,0.022846271045048036,0.11356077592234387,0.15114982978835284,0.2145361666666667,0.21980525512235075,0.41009258059459425,0.46265826582658265,0.14270049261313358,0.30961446282949956
math500,MATH-500,shape_tree,0.025598834760259148,0.11069008786457418,0.15999635858437264,0.2145361666666667,0.21551415711412097,0.42075369944219987,0.5316023498586548,0.13384611918580938,0.2853345628592537
math500,MATH-500,last_layer,0.02661634326404762,0.11776749971556663,0.1631451600999785,0.2145361666666667,0.18548330316940942,0.3646792911171609,0.4164896489648965,0.16064424257914553,0.27759072479620767
math500,MATH-500,ensemble,0.026124124574231203,0.1294623292577267,0.16162959065168483,0.2145361666666667,0.2300177461405596,0.4635322351288164,0.5054905490549055,0.1364742696841325,0.2773351346354188
math500,MATH-500,shape_tree_plus_last_layer,0.027635198327589504,0.11543109306699288,0.16623837802261396,0.2145361666666667,0.21750410474425239,0.43975005567275904,0.5461506150615062,0.1428717924017473,0.2877844217408564
math500,MATH-500,shape_tree_plus_ensemble,0.027920526639586572,0.11461935121103377,0.1670943644758451,0.2145361666666667,0.2204433738585689,0.4401130347247414,0.5655685568556855,0.13384611918580938,0.274851870352862
mmlu_pro,MMLU-Pro,prompt_length,0.01576542774734518,0.09600185251193427,0.12556045455216058,0.12173562499999999,0.12632237314210762,0.3324430893983398,0.39305748822881714,0.16926023093075673,0.2916510505176005
mmlu_pro,MMLU-Pro,shape_linear,0.016291196097025864,0.09723919005888011,0.12763696994611656,0.12173562499999999,0.12716488084042404,0.2896698241787128,0.34963377475682644,0.13783583277286335,0.2835413489956891
mmlu_pro,MMLU-Pro,shape_tree,0.015928240689828444,0.09150997589198291,0.12620713406867476,0.12173562499999999,0.12954487091402847,0.3648702463493855,0.3592126128459752,0.19664582231646105,0.32930179983605185
mmlu_pro,MMLU-Pro,last_layer,0.018937225942245065,0.09012293894263605,0.13761259369056694,0.12173562499999999,0.08389102700166404,0.02019679781534448,0.051119184343138405,0.08346040172436513,0.1766267748929973
mmlu_pro,MMLU-Pro,ensemble,0.0177578818161043,0.09320885555890698,0.13325870259050362,0.12173562499999999,0.10221739037272833,0.36916769162438284,0.3668287823743115,0.20807769911231822,0.36408260044392654
