dataset,dataset_name,feature,prevalence,roc_auc,pr_auc,positive_rate_top_10p,positive_rate_top_20p
gpqa,GPQA,prompt_token_count,0.05,0.4473684210526316,0.06573275862068965,0.0,0.0
gpqa,GPQA,char_length,0.05,0.35526315789473684,0.055303030303030305,0.0,0.0
gpqa,GPQA,newline_count,0.05,0.7960526315789473,0.16666666666666669,0.0,0.125
gpqa,GPQA,digit_count,0.05,0.5921052631578947,0.09953703703703703,0.0,0.125
gpqa,GPQA,dollar_count,0.05,0.4473684210526316,0.05,0.0,0.0
gpqa,GPQA,choice_count,0.05,0.5,0.05,0.0,0.125
aime,AIME,prompt_token_count,0.5833333333333334,0.8428571428571429,0.8976190476190475,1.0,1.0
aime,AIME,char_length,0.5833333333333334,0.8285714285714286,0.8917233560090703,1.0,1.0
aime,AIME,newline_count,0.5833333333333334,0.4,0.5833333333333334,0.0,0.0
aime,AIME,digit_count,0.5833333333333334,0.5571428571428572,0.7268707482993196,1.0,0.6666666666666666
aime,AIME,dollar_count,0.5833333333333334,0.9142857142857143,0.9367346938775509,1.0,1.0
aime,AIME,choice_count,0.5833333333333334,0.5,0.5833333333333334,0.0,0.0
math500,MATH-500,prompt_token_count,0.04,0.73828125,0.09927476737821564,0.1,0.1
math500,MATH-500,char_length,0.04,0.7513020833333334,0.0900155081189564,0.0,0.05
math500,MATH-500,newline_count,0.04,0.58203125,0.06999999999999999,0.1,0.05
math500,MATH-500,digit_count,0.04,0.6080729166666666,0.07409983633387889,0.1,0.05
math500,MATH-500,dollar_count,0.04,0.7252604166666666,0.11693693693693694,0.1,0.1
math500,MATH-500,choice_count,0.04,0.5,0.04,0.2,0.1
mmlu_pro,MMLU-Pro,prompt_token_count,0.0125,0.8734177215189873,0.11036036036036036,0.0625,0.03125
mmlu_pro,MMLU-Pro,char_length,0.0125,0.8291139240506329,0.06719367588932806,0.0625,0.03125
mmlu_pro,MMLU-Pro,newline_count,0.0125,0.7579113924050633,0.5064935064935064,0.0625,0.03125
mmlu_pro,MMLU-Pro,digit_count,0.0125,0.8306962025316456,0.09142857142857143,0.0625,0.03125
mmlu_pro,MMLU-Pro,dollar_count,0.0125,0.5632911392405063,0.25625,0.0625,0.03125
mmlu_pro,MMLU-Pro,choice_count,0.0125,0.5,0.0125,0.0,0.0
livecodebench,LiveCodeBench,prompt_token_count,0.3375,0.720125786163522,0.5770827207719685,0.625,0.53125
livecodebench,LiveCodeBench,char_length,0.3375,0.7177672955974843,0.5897928546171382,0.75,0.53125
livecodebench,LiveCodeBench,newline_count,0.3375,0.631114605171209,0.4783111252537108,0.5,0.46875
livecodebench,LiveCodeBench,digit_count,0.3375,0.6033368273934312,0.423142394021066,0.4375,0.375
livecodebench,LiveCodeBench,dollar_count,0.3375,0.5,0.3375,0.375,0.34375
livecodebench,LiveCodeBench,choice_count,0.3375,0.5,0.3375,0.375,0.34375
