dataset,mae_mean,mae_std,mse_mean,mse_std,pred_mean_mean,pred_mean_std,rmse_mean,rmse_std,selection_kind,source_name,source_type,spearman_mean,spearman_std,status,target_mean_mean,target_mean_std,target_name,top_10p_capture_mean,top_10p_capture_std,top_20p_capture_mean,top_20p_capture_std
gpqa,0.1392830855668945,,0.027249516890163777,,0.29189086075129095,,0.16507427688820503,,,prompt_length,metadata_baseline,0.11643289508743643,,complete,0.26311333333333337,,mean_relative_length,0.07008307573415765,,0.16792747738617073,
gpqa,0.13844302215189874,,0.02709370757863268,,0.2930004219409283,,0.16460166335317722,,,effective_budget,metadata_baseline,,,complete,0.26311333333333337,,mean_relative_length,0.06664824410266804,,0.2151560164187802,
gpqa,0.1392830855668945,,0.02724951689016377,,0.29189086075129084,,0.165074276888205,,,prompt_length_plus_effective_budget,metadata_baseline,0.11643289508743643,,complete,0.26311333333333337,,mean_relative_length,0.07008307573415765,,0.16792747738617073,
gpqa,0.12516872597237427,0.0010498091985830502,0.025672079363324097,0.0006369706723376683,0.23548278386394184,0.004667833132377075,0.16021690622395468,0.0019833015461380274,best_loss,ensemble,probe,0.41876172607879925,0.04524494398875203,complete,0.2631133321672678,0.0,mean_relative_length,0.13171605301084058,0.019463460182065656,0.24704050983356507,0.018261195540753058
gpqa,0.12516872597237427,0.0010498091985830502,0.025672079363324097,0.0006369706723376683,0.23548278386394184,0.004667833132377075,0.16021690622395468,0.0019833015461380274,best_rank,ensemble,probe,0.41876172607879925,0.04524494398875203,complete,0.2631133321672678,0.0,mean_relative_length,0.13171605301084058,0.019463460182065656,0.24704050983356507,0.018261195540753058
gpqa,0.12961439515153567,0.001954795419296619,0.026972192370828933,0.0010021088177905309,0.24154279393454392,0.027749842834220675,0.16421323518250583,0.0030510068151275425,best_loss,last_layer,probe,0.17542213883677302,0.22543344009260327,complete,0.2631133321672678,0.0,mean_relative_length,0.08913881593890517,0.006051696927067131,0.21644955622890896,0.03882422624469781
gpqa,0.12951525698105495,0.0019005388102794132,0.02768115144428983,0.0015777436780168965,0.22876241989433765,0.028711411878116003,0.1663310955170693,0.004762054448671608,best_rank,last_layer,probe,0.18205128205128207,0.21412960527524386,complete,0.2631133321672678,0.0,mean_relative_length,0.08913881593890517,0.006051696927067131,0.21644955622890896,0.03882422624469781
aime,0.14665969047888172,,0.030904068974678164,,0.585474049341362,,0.17579553172557646,,,prompt_length,metadata_baseline,0.6760080419465042,,complete,0.625576388888889,,mean_relative_length,0.22305651454769485,,0.30552268463528076,
aime,0.1696032118055555,,0.03839511882477935,,0.5879140625000003,,0.19594672445534614,,,effective_budget,metadata_baseline,,,complete,0.625576388888889,,mean_relative_length,0.09900869198405912,,0.16855233506876988,
aime,0.14665969047888172,,0.030904068974678168,,0.5854740493413618,,0.1757955317255765,,,prompt_length_plus_effective_budget,metadata_baseline,0.6760080419465042,,complete,0.625576388888889,,mean_relative_length,0.22305651454769485,,0.30552268463528076,
aime,0.1606088512473636,0.005500949476451518,0.0333653067567872,0.002049359416047587,0.6278969016340045,0.0037367022943476037,0.18260460565306133,0.005594383488441233,best_loss,ensemble,probe,0.6386946386946387,0.09018900756248531,complete,0.6255763868490855,0.0,mean_relative_length,0.20381536635232825,0.015274148570928988,0.30486920966444114,0.016920647927812935
aime,0.16735749112235174,0.004347561857153862,0.035393131511196656,0.0010201533232297598,0.6555640598138174,0.019502883367337732,0.18811749155142335,0.0027223749549316347,best_rank,ensemble,probe,0.738927738927739,0.06109716746890986,complete,0.6255763868490855,0.0,mean_relative_length,0.20650251998828928,0.018056917343832718,0.30755636330040215,0.015139919581892279
aime,0.16227650311258104,0.0028145264864906576,0.03556234522444182,0.0015317397824551654,0.6084078417883979,0.019777942841560283,0.18855059648397635,0.004065302567806188,best_loss,last_layer,probe,0.48251748251748255,0.1375686403699721,complete,0.6255763868490855,0.0,mean_relative_length,0.2205329173342919,0.004371000518651561,0.32063615379948723,0.019645149089580517
aime,0.16227650311258104,0.0028145264864906576,0.03556234522444182,0.0015317397824551654,0.6084078417883979,0.019777942841560283,0.18855059648397635,0.004065302567806188,best_rank,last_layer,probe,0.48251748251748255,0.1375686403699721,complete,0.6255763868490855,0.0,mean_relative_length,0.2205329173342919,0.004371000518651561,0.32063615379948723,0.019645149089580517
math500,0.11532229906272601,,0.023806809946726286,,0.21102411598376844,,0.15429455579094903,,,prompt_length,metadata_baseline,0.4609147657183268,,complete,0.2145361666666667,,mean_relative_length,0.1511516706196391,,0.2898497300765916,
math500,0.12245172500000001,,0.026734369062059456,,0.20026343750000003,,0.16350648018369013,,,effective_budget,metadata_baseline,,,complete,0.2145361666666667,,mean_relative_length,0.127894519727443,,0.23149554426332153,
math500,0.11532229906272601,,0.023806809946726286,,0.21102411598376836,,0.15429455579094903,,,prompt_length_plus_effective_budget,metadata_baseline,0.4609147657183268,,complete,0.2145361666666667,,mean_relative_length,0.1511516706196391,,0.2898497300765916,
math500,0.1295184112464388,0.003048274168062986,0.0261791826564797,0.0005728341159035092,0.2300177461405595,0.007547308286104556,0.16179335322354896,0.001772078931487955,best_loss,ensemble,probe,0.3509110911091109,0.19859637208518155,complete,0.21453616674989462,0.0,mean_relative_length,0.12885537977797643,0.03270961517784633,0.26186752787109874,0.057666990509640095
math500,0.1295184112464388,0.003048274168062986,0.0261791826564797,0.0005728341159035092,0.2300177461405595,0.007547308286104556,0.16179335322354896,0.001772078931487955,best_rank,ensemble,probe,0.3509110911091109,0.19859637208518155,complete,0.21453616674989462,0.0,mean_relative_length,0.12885537977797643,0.03270961517784633,0.26186752787109874,0.057666990509640095
math500,0.12438361742844184,0.00251272190063579,0.028769646835890273,0.006277504751329778,0.18548330316940942,0.05541460565141044,0.16897495231530135,0.018046287399292333,best_loss,last_layer,probe,0.15845984598459847,0.4263433766874798,complete,0.21453616674989462,0.0,mean_relative_length,0.11689443105324167,0.06080123087482921,0.2427627454734591,0.09426578729984036
math500,0.12438361742844184,0.00251272190063579,0.028769646835890273,0.006277504751329778,0.18548330316940942,0.05541460565141044,0.16897495231530135,0.018046287399292333,best_rank,last_layer,probe,0.15845984598459847,0.4263433766874798,complete,0.21453616674989462,0.0,mean_relative_length,0.11689443105324167,0.06080123087482921,0.2427627454734591,0.09426578729984036
mmlu_pro,0.09600185251193427,,0.015765427747345184,,0.12632237314210762,,0.12556045455216058,,,prompt_length,metadata_baseline,0.39305748822881714,,complete,0.12173562499999999,,mean_relative_length,0.16926023093075673,,0.2916510505176005,
mmlu_pro,0.09842493326822917,,0.017519734610823737,,0.11895332031249997,,0.13236213435429234,,,effective_budget,metadata_baseline,,,complete,0.12173562499999999,,mean_relative_length,0.12946300983517903,,0.2223585604734303,
