label,layer,num_rows,mean_prompt_mass,mean_prev_loop_mass,mean_current_trigger_mass,mean_recent_nonloop_mass,mean_other_completion_mass
Trigger end,0,811,0.0036033491530656,0.08976019278591275,0.5922157803387295,0.10424131349869746,0.21017936422359462
Trigger end,1,811,0.018576788332034248,0.12181940960896497,0.4833113941767066,0.1303793377319492,0.24591307015034503
Trigger end,2,811,0.009806988809060228,0.1490842689186996,0.45530250795304994,0.1278471605676116,0.2579590737515786
Trigger end,3,811,0.5488320285897661,0.06332662676543722,0.1569840886323505,0.058566470057074826,0.1722907859553714
Trigger end,4,811,0.4608769335596835,0.051155074562779235,0.3240127746663464,0.05000976773948049,0.11394544947171038
Trigger end,5,811,0.5222473337088795,0.027038050665529893,0.3481666018173521,0.0507581072273119,0.05178990658092662
Trigger end,6,811,0.26501403703054577,0.19338149203242488,0.22315392615997065,0.08725984324686775,0.2311907015301909
Trigger end,7,811,0.35543796098555647,0.05773011391937076,0.34874162023241656,0.09356954280412198,0.14452076205853417
Trigger end,8,811,0.33430004544308095,0.09964241483421024,0.16742500869968374,0.10781420761493693,0.29081832340808816
Trigger end,9,811,0.36491220755876946,0.06384216197994601,0.25158556554875305,0.0708076442158626,0.24885242069666888
Trigger end,10,811,0.30186466507053256,0.07285043592635099,0.3558447639034135,0.11159910897501261,0.15784102612469028
Trigger end,11,811,0.21144109885363338,0.16131659870928225,0.22603484277146077,0.09032121673011038,0.3108862429355132
Trigger end,12,811,0.2196281023700199,0.1112406155052589,0.24608035725064842,0.14221897672011452,0.28083194815395823
Trigger end,13,811,0.1459668869412195,0.1411781316754005,0.22266468553403082,0.13241584836485257,0.35777444748449655
Trigger end,14,811,0.18675982072931036,0.12456671985925052,0.23858732919055972,0.12012559514165179,0.32996053507922757
Trigger end,15,811,0.2956480284103189,0.0800236499266591,0.31839493968042876,0.11788771696006603,0.18804566502252718
Trigger end,16,811,0.22918751260722756,0.10944159714328229,0.17738972288187774,0.11988325253500501,0.3640979148326074
Trigger end,17,811,0.21149042053044798,0.104470636014644,0.24498885520647765,0.1110879729800334,0.32796211526839697
Trigger end,18,811,0.26377956949532694,0.09433645372532777,0.258050123723419,0.10739011300840265,0.27644374004752365
Trigger end,19,811,0.3117616655794231,0.08171625340153015,0.28608186678494685,0.09495248194136824,0.22548773229273172
Trigger end,20,811,0.4113671605816311,0.06498062163453582,0.18013379077912847,0.06928053355630649,0.2742378934483981
Trigger end,21,811,0.4871163466708728,0.06645071187025595,0.08736353270989715,0.07577628573948163,0.28329312300949244
Trigger end,22,811,0.49605190537125793,0.05848980048566864,0.16048949554048103,0.07386887322058534,0.2110999253820071
Trigger end,23,811,0.5641179627907702,0.06452099560919584,0.16570186636579462,0.040362100375864456,0.1652970748583749
Trigger end,24,811,0.6005533886602569,0.0477264705586331,0.12758080557025464,0.04528743007417559,0.1788519051366798
Trigger end,25,811,0.6057690260736628,0.06813390428084379,0.07504852282161263,0.044217419323758896,0.20683112750012184
Trigger end,26,811,0.5691805296702684,0.04784059305026503,0.09527957098588402,0.04699578676474684,0.2407035195288356
Trigger end,27,811,0.6385608976557575,0.03146813181263028,0.1764682981928606,0.03753276855243451,0.11596990378631711
First trigger token,0,811,0.0038556584812460023,0.18276536706048402,0.210074277137637,0.3688630199371481,0.2344416790169867
First trigger token,1,811,0.019675882997562014,0.22448941712978535,0.06664891233931855,0.4289854980181457,0.26020029017933716
First trigger token,2,811,0.010582181912481971,0.2384769891488622,0.07711513753883936,0.3824572096525378,0.2913684819293301
First trigger token,3,811,0.5439982383377602,0.12381188647072813,0.010857417486474818,0.14947932224357402,0.17185314011136496
First trigger token,4,811,0.4871698941681741,0.10564521626404541,0.07716252709452968,0.20746501095359499,0.12255735892765729
First trigger token,5,811,0.5555002810996205,0.10060014611975814,0.046072699323080654,0.2451280456069847,0.05269883319166513
First trigger token,6,811,0.26779367970406054,0.2632555726286295,0.034149794645249185,0.2043638128780676,0.23043714464112713
First trigger token,7,811,0.36634962949741046,0.1331477074263188,0.052272890024943654,0.29540885555689683,0.15282091837371764
First trigger token,8,811,0.3571306103254805,0.17711969174251752,0.011067913979539962,0.18518851035388398,0.2694932762326721
First trigger token,9,811,0.36108863320656387,0.12138816377385743,0.08157746445125776,0.18309192967742657,0.25285381109955574
First trigger token,10,811,0.32085753100867925,0.14954580473495388,0.05214110544782807,0.31503116963214484,0.1624243920657476
First trigger token,11,811,0.23207912816403092,0.2013102712789516,0.07427537049891475,0.1814982402303848,0.3108369940891862
First trigger token,12,811,0.23656256444540918,0.18524349744187074,0.01647001026877525,0.2791536354058828,0.28257029431237024
First trigger token,13,811,0.16786864463299622,0.20793069258984523,0.022328861099817136,0.24426254546859388,0.35760925750508815
First trigger token,14,811,0.21029091022826005,0.18682782199812545,0.03250641814741948,0.24626607086547184,0.324108781990091
First trigger token,15,811,0.30692160331659046,0.16093740824945316,0.021233582476718964,0.30711523873784463,0.203792168314393
First trigger token,16,811,0.27067672950933364,0.21549058017354233,0.012828488094082192,0.1830489249457971,0.3179552817691931
First trigger token,17,811,0.2075392172135569,0.1834311028712793,0.022621305633000983,0.23610808311207404,0.3503002937109142
First trigger token,18,811,0.3022246939002659,0.2084184123499436,0.024366718736154504,0.2183204088350741,0.24666977107396254
First trigger token,19,811,0.31896274216225057,0.17885478530779628,0.04222274884471323,0.21806974964587847,0.24188997678323185
First trigger token,20,811,0.41194770037760425,0.15529850264724102,0.012227004185794369,0.14943265203968908,0.27109414581599867
First trigger token,21,811,0.4649223236576109,0.14774731659179993,0.008959927554164799,0.09486081194211589,0.28350962793084755
First trigger token,22,811,0.4770298039795585,0.11816096143296353,0.03277938373377673,0.1460644174423531,0.22596543934081398
First trigger token,23,811,0.5641318042240072,0.10648133608761776,0.04743709416575408,0.10863833328675256,0.17331143867215268
First trigger token,24,811,0.5750909893786128,0.10148973831388429,0.03651005386668585,0.1014795807556029,0.1854296463499197
First trigger token,25,811,0.5623534001345699,0.10002766925389114,0.02546545581070479,0.07501324583860378,0.23714023795318773
First trigger token,26,811,0.5293791118811738,0.07987107421212937,0.06557065671431556,0.06358447817067599,0.26159468301917566
First trigger token,27,811,0.619667950011652,0.06064408172274229,0.09566949138534973,0.10601785378539952,0.11800063347257904
Trigger start (pre-token),0,811,0.003379984264746917,0.21036090310154834,0.0,0.3438264113990418,0.4424326992516191
Trigger start (pre-token),1,811,0.019801332778527036,0.19877123421301512,0.0,0.4378598956160825,0.34356753618838826
Trigger start (pre-token),2,811,0.010278632385990985,0.18567578586130765,0.0,0.4154894492881339,0.38855613428759406
Trigger start (pre-token),3,811,0.5580017184505627,0.09927395101103807,0.0,0.1464128450208611,0.19631148985634142
Trigger start (pre-token),4,811,0.48119682091966953,0.10428627950923676,0.0,0.2213787413810141,0.1931381625980001
Trigger start (pre-token),5,811,0.5350610015571632,0.10691783935672508,0.0,0.2551503648038215,0.1028707998333345
Trigger start (pre-token),6,811,0.2651189533136923,0.16070224352855048,0.0,0.24147174837501661,0.3327070593221846
Trigger start (pre-token),7,811,0.3528051340881317,0.13826859878627618,0.0,0.3003138261302443,0.20861244340554688
Trigger start (pre-token),8,811,0.35849925612918254,0.15177082769950545,0.0,0.19439437498026166,0.2953355448284909
Trigger start (pre-token),9,811,0.3550315843814692,0.11890789344344109,0.0,0.18681897606261985,0.3392415490580215
Trigger start (pre-token),10,811,0.3130542111896557,0.149476050690641,0.0,0.32196936400143,0.2155003777869349
Trigger start (pre-token),11,811,0.2215088230871243,0.1421136119972533,0.0,0.2040302281782695,0.4323473411609916
Trigger start (pre-token),12,811,0.23309087079895704,0.17290303136570018,0.0,0.2947727181568613,0.2992333822312929
Trigger start (pre-token),13,811,0.16640372843505716,0.17963419657466995,0.0,0.2637219326145018,0.3902401426501581
Trigger start (pre-token),14,811,0.19832556688315184,0.16941142084166572,0.0,0.26658663210592837,0.3656763844436055
Trigger start (pre-token),15,811,0.2955354322230331,0.1618648990908346,0.0,0.3288619288862895,0.21373774365174014
Trigger start (pre-token),16,811,0.25962503966398803,0.21065103158736015,0.0,0.20063024722946907,0.3290936850745153
Trigger start (pre-token),17,811,0.1903107656549511,0.1851338457422958,0.0,0.25239157532419293,0.37216381517178054
Trigger start (pre-token),18,811,0.2860128988228215,0.20966022719689972,0.0,0.2292316074402137,0.2750952715116166
Trigger start (pre-token),19,811,0.30815668989308226,0.17018300085988827,0.0,0.24181370952896689,0.2798466014568998
Trigger start (pre-token),20,811,0.40699651929217995,0.14785922066746085,0.0,0.15894234886794303,0.28620191527996786
Trigger start (pre-token),21,811,0.46004808665644814,0.1412559851083064,0.0,0.10767281077466716,0.2910231234713626
Trigger start (pre-token),22,811,0.4752549347542364,0.11649429484680479,0.0,0.15448544526607047,0.25376532882286645
