split,sample_id,rollout_index,pc1,pc2,cap_hit,loop_flag,correct,finish_reason,length,relative_length,first_loop_prefix_length
test,0,0,-7.371731758117676,-2.7741892337799072,0,0,1,stop,5821,0.19403333333333334,
test,0,1,-7.371731758117676,-2.7741892337799072,0,0,1,stop,4719,0.1573,
test,0,2,-7.371731758117676,-2.7741892337799072,0,0,1,stop,4710,0.157,
test,0,3,-7.371731758117676,-2.7741892337799072,0,0,1,stop,3562,0.11873333333333333,
test,0,4,-7.371731758117676,-2.7741892337799072,0,0,0,stop,9413,0.3137666666666667,
test,0,5,-7.371731758117676,-2.7741892337799072,0,0,0,stop,11108,0.3702666666666667,
test,0,6,-7.371731758117676,-2.7741892337799072,0,0,0,stop,9288,0.3096,
test,0,7,-7.371731758117676,-2.7741892337799072,0,0,1,stop,2061,0.0687,
test,0,8,-7.371731758117676,-2.7741892337799072,0,0,1,stop,2294,0.07646666666666667,
test,0,9,-7.371731758117676,-2.7741892337799072,0,0,1,stop,2985,0.0995,
test,1,0,5.432455062866211,4.654406547546387,0,1,0,stop,5985,0.1995,1390
test,1,1,5.432455062866211,4.654406547546387,0,0,0,stop,6886,0.22953333333333334,
test,1,2,5.432455062866211,4.654406547546387,0,1,0,stop,9070,0.30233333333333334,5795
test,1,3,5.432455062866211,4.654406547546387,0,0,0,stop,7344,0.2448,
test,1,4,5.432455062866211,4.654406547546387,0,0,1,stop,8151,0.2717,
test,1,5,5.432455062866211,4.654406547546387,0,0,0,stop,7088,0.23626666666666668,
test,1,6,5.432455062866211,4.654406547546387,0,0,0,stop,5997,0.1999,
test,1,7,5.432455062866211,4.654406547546387,0,0,0,stop,7793,0.25976666666666665,
test,1,8,5.432455062866211,4.654406547546387,0,1,0,stop,8039,0.2679666666666667,4842
test,1,9,5.432455062866211,4.654406547546387,0,1,0,stop,6262,0.20873333333333333,2208
test,5,0,-7.288684368133545,3.433398962020874,0,1,0,stop,17949,0.5983,8627
test,5,1,-7.288684368133545,3.433398962020874,0,1,0,stop,18228,0.6076,2289
test,5,2,-7.288684368133545,3.433398962020874,1,1,0,length,30000,1.0,5623
test,5,3,-7.288684368133545,3.433398962020874,1,1,0,length,30000,1.0,2988
test,5,4,-7.288684368133545,3.433398962020874,1,1,0,length,30000,1.0,3750
test,5,5,-7.288684368133545,3.433398962020874,1,1,0,length,30000,1.0,4178
test,5,6,-7.288684368133545,3.433398962020874,1,1,0,length,30000,1.0,1673
test,5,7,-7.288684368133545,3.433398962020874,0,1,0,stop,14065,0.4688333333333333,1850
test,5,8,-7.288684368133545,3.433398962020874,0,1,0,stop,15821,0.5273666666666667,4695
test,5,9,-7.288684368133545,3.433398962020874,0,1,0,stop,17227,0.5742333333333334,4977
test,7,0,4.578364372253418,-1.7805252075195312,0,1,0,stop,8577,0.2859,3523
test,7,1,4.578364372253418,-1.7805252075195312,0,0,0,stop,6114,0.2038,
