dataset,test_prevalence,view,config,selection_kind,accuracy,macro_f1,positive_precision,positive_recall,positive_f1,roc_auc,pr_auc,epoch_mean,epoch_values
gpqa,0.05000000000000001,ensemble,default_h128d1,best_loss,0.4916666666666667,0.38190748521630874,0.10960735171261486,1.0,0.19509803921568628,0.9583333333333334,0.41984126984126985,,
gpqa,0.05000000000000001,ensemble,width_only_h256d1,best_loss,0.7833333333333332,0.6068572631072632,0.21428571428571427,1.0,0.3452380952380952,0.9714912280701755,0.5833333333333334,10.666666666666666,3;14;15
gpqa,0.05000000000000001,ensemble,width_only_h256d1,best_rank,0.6833333333333332,0.5216720779220779,0.1402116402116402,1.0,0.24523809523809526,0.9517543859649124,0.6444444444444444,12.0,7;14;15
gpqa,0.05000000000000001,ensemble,width_depth_h256d2,best_loss,0.725,0.5487179487179488,0.15384615384615385,1.0,0.26666666666666666,0.9583333333333334,0.5025252525252525,5.333333333333333,4;7;5
gpqa,0.05000000000000001,ensemble,width_depth_h256d2,best_rank,0.7166666666666667,0.5428952991452992,0.15018315018315018,1.0,0.2611111111111111,0.9298245614035089,0.6112554112554113,7.333333333333333,4;5;13
gpqa,0.05000000000000001,last_layer,default_h128d1,best_loss,0.5166666666666667,0.41386800334168755,0.21451355661881977,0.8333333333333334,0.25555555555555554,0.5350877192982456,0.2297686618507052,,
gpqa,0.05000000000000001,last_layer,width_only_h256d1,best_loss,0.7916666666666666,0.5747092248952764,0.1979458450046685,0.6666666666666666,0.27758284600389865,0.850877192982456,0.3071428571428571,13.666666666666666,15;11;15
gpqa,0.05000000000000001,last_layer,width_only_h256d1,best_rank,0.6083333333333333,0.37225211014286935,0.0647130647130647,0.5,0.1065943992773261,0.7807017543859649,0.3968253968253968,9.333333333333334,6;7;15
gpqa,0.05000000000000001,last_layer,width_depth_h256d2,best_loss,0.4083333333333334,0.33748691395750213,0.10647653000594177,1.0,0.18624338624338624,0.8947368421052632,0.3175925925925926,9.0,6;15;6
gpqa,0.05000000000000001,last_layer,width_depth_h256d2,best_rank,0.45,0.36153920153920155,0.1509209744503862,0.8333333333333334,0.20846560846560847,0.8815789473684209,0.3259259259259259,5.666666666666667,6;5;6
gpqa,0.05000000000000001,prompt_length,baseline,best_loss,0.35,0.2857142857142857,0.038461538461538464,0.5,0.07142857142857144,0.4473684210526316,0.06573275862068965,,
aime,0.5833333333333334,ensemble,default_h128d1,best_loss,0.8055555555555557,0.7980283605283606,0.9259259259259259,0.7619047619047619,0.8118686868686869,0.8904761904761905,0.9218253968253967,,
aime,0.5833333333333334,ensemble,width_only_h256d1,best_loss,0.6388888888888888,0.6142982017982018,0.9047619047619048,0.4761904761904761,0.5638528138528138,0.8761904761904762,0.9119597333883047,5.0,3;6;6
aime,0.5833333333333334,ensemble,width_only_h256d1,best_rank,0.6388888888888888,0.6035839160839161,0.8888888888888888,0.5238095238095237,0.5757575757575758,0.8761904761904762,0.9134027348313062,5.333333333333333,3;6;7
aime,0.5833333333333334,ensemble,width_depth_h256d2,best_loss,0.6944444444444445,0.684019684019684,1.0,0.4761904761904761,0.632996632996633,0.8761904761904762,0.9089500446643303,5.666666666666667,4;9;4
aime,0.5833333333333334,ensemble,width_depth_h256d2,best_rank,0.8055555555555557,0.8049728049728051,1.0,0.6666666666666666,0.797979797979798,0.8523809523809524,0.9166666666666666,10.0,13;9;8
aime,0.5833333333333334,last_layer,default_h128d1,best_loss,0.5555555555555556,0.39144736842105265,0.7222222222222223,0.7142857142857143,0.5745614035087719,0.7999999999999999,0.9043083900226757,,
aime,0.5833333333333334,last_layer,width_only_h256d1,best_loss,0.5833333333333334,0.5409296585767175,0.5833333333333334,0.3333333333333333,0.42424242424242425,0.7333333333333333,0.8435734900020613,9.666666666666666,13;4;12
aime,0.5833333333333334,last_layer,width_only_h256d1,best_rank,0.5833333333333334,0.5409296585767175,0.5833333333333334,0.3333333333333333,0.42424242424242425,0.7333333333333333,0.8435734900020613,9.666666666666666,13;4;12
aime,0.5833333333333334,last_layer,width_depth_h256d2,best_loss,0.75,0.7494172494172494,0.8777777777777779,0.6666666666666666,0.7564102564102564,0.7238095238095239,0.8479385693671407,11.0,12;6;15
aime,0.5833333333333334,last_layer,width_depth_h256d2,best_rank,0.75,0.7494172494172494,0.8777777777777779,0.6666666666666666,0.7564102564102564,0.7238095238095239,0.8479385693671407,11.0,12;6;15
aime,0.5833333333333334,prompt_length,baseline,best_loss,0.6666666666666666,0.6666666666666666,0.8,0.5714285714285714,0.6666666666666666,0.8571428571428571,0.8976190476190475,,
math500,0.04,ensemble,default_h128d1,best_loss,0.5866666666666667,0.44423558897243104,0.09114959114959115,1.0,0.16666666666666666,0.8298611111111112,0.13539449523231653,,
math500,0.04,ensemble,width_only_h256d1,best_loss,0.6733333333333333,0.43911756415706066,0.05387205387205387,0.6666666666666666,0.09961950882047733,0.8667534722222223,0.16629226037120773,7.333333333333333,14;5;3
math500,0.04,ensemble,width_only_h256d1,best_rank,0.7799999999999999,0.4872234060960687,0.061505832449628844,0.5,0.10864197530864199,0.8359375,0.19931932506358618,5.666666666666667,3;11;3
math500,0.04,ensemble,width_depth_h256d2,best_loss,0.5133333333333333,0.40077738036875193,0.07606632361349341,1.0,0.1413640818933712,0.8628472222222223,0.15959054561995736,9.333333333333334,12;8;8
math500,0.04,ensemble,width_depth_h256d2,best_rank,0.5133333333333333,0.40077738036875193,0.07606632361349341,1.0,0.1413640818933712,0.8628472222222223,0.15959054561995736,9.333333333333334,12;8;8
