dataset,dataset_name,bucket,num_rows,bucket_prompt_token_min,bucket_prompt_token_max,prompt_token_count_mean,char_length_mean,mean_relative_length_mean,p_loop_mean,p_cap_mean,majority_s_0.5_rate
gpqa,GPQA,1,10,109.0,180.0,153.4,562.6,0.19746000000000002,0.1,0.025,0.0
gpqa,GPQA,2,10,181.0,230.0,207.1,712.3,0.25932416666666663,0.175,0.025,0.1
gpqa,GPQA,3,10,234.0,264.0,247.5,878.4,0.37718083333333335,0.2,0.1,0.1
gpqa,GPQA,4,10,283.0,916.0,406.7,1328.9,0.21848833333333334,0.075,0.025,0.0
aime,AIME,1,4,66.0,74.0,70.5,245.25,0.42156666666666665,0.0,0.0,0.25
aime,AIME,2,2,94.0,97.0,95.5,396.5,0.6741583333333334,0.0,0.0,0.5
aime,AIME,3,3,109.0,161.0,129.66666666666666,496.3333333333333,0.7262666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666
aime,AIME,4,3,170.0,597.0,336.3333333333333,926.3333333333334,0.7645111111111111,0.08333333333333333,0.3333333333333333,1.0
math500,MATH-500,1,26,31.0,53.0,42.80769230769231,167.96153846153845,0.12514743589743593,0.019230769230769232,0.009615384615384616,0.0
math500,MATH-500,2,24,54.0,76.0,64.41666666666667,229.91666666666666,0.2136010416666666,0.020833333333333332,0.010416666666666666,0.041666666666666664
math500,MATH-500,3,25,78.0,105.0,90.92,315.16,0.19493699999999997,0.01,0.0,0.04
math500,MATH-500,4,25,111.0,685.0,196.32,530.64,0.3279973333333333,0.05,0.01,0.08
mmlu_pro,MMLU-Pro,1,41,121.0,189.0,163.0,503.1951219512195,0.0753310975609756,0.036585365853658534,0.006097560975609756,0.0
mmlu_pro,MMLU-Pro,2,41,190.0,222.0,207.5609756097561,537.7317073170732,0.09482052845528455,0.012195121951219513,0.0,0.0
mmlu_pro,MMLU-Pro,3,38,223.0,265.0,237.42105263157896,696.421052631579,0.13650570175438598,0.02631578947368421,0.006578947368421052,0.0
mmlu_pro,MMLU-Pro,4,40,274.0,893.0,395.4,1177.1,0.18285666666666667,0.06875,0.03125,0.05
livecodebench,LiveCodeBench,1,40,250.0,418.0,351.05,1378.275,0.2355875,0.05625,0.05625,0.1
livecodebench,LiveCodeBench,2,41,422.0,529.0,466.5853658536585,1709.6341463414635,0.39024634146341464,0.1524390243902439,0.10365853658536585,0.2682926829268293
livecodebench,LiveCodeBench,3,39,543.0,662.0,591.3589743589744,2083.4358974358975,0.5470463675213677,0.23717948717948717,0.21153846153846154,0.5384615384615384
livecodebench,LiveCodeBench,4,40,671.0,1678.0,852.975,2701.1,0.4620987499999999,0.15,0.1,0.45
