stage,model_id,dataset_key,display_name,prompt_format_requested,prompt_format_resolved,samples,generated,graded,correct,wrong,looped,max_length_hits,loop_and_max_hits,correct_and_looped,correct_and_max_hits,correct_and_loop_and_max_hits,success_fraction,loop_fraction,max_length_hit_fraction,loop_max_length_hit_fraction,max_length_hit_loop_fraction,loop_success_fraction,avg_generation_length,avg_loop_generation_length,avg_wrong_generation_length
Base,allenai/OLMo-2-0425-1B,math500,MATH-500,auto,raw,50,500,500,13,487,189,211,187,12,13,12,0.026,0.378,0.422,0.9894179894179894,0.8862559241706162,0.06349206349206349,1749.734,3994.740740740741,1688.8418891170431
Base,allenai/OLMo-2-0425-1B,aime,AIME 2024/2025,auto,raw,50,500,500,0,500,224,240,223,0,0,0,0.0,0.448,0.48,0.9955357142857143,0.9291666666666667,0.0,1948.72,3960.0625,1948.72
Base,allenai/OLMo-2-0425-1B,gpqa,GPQA Diamond,auto,raw,50,500,500,23,477,256,308,256,3,3,3,0.046,0.512,0.616,1.0,0.8311688311688312,0.01171875,2418.508,3856.796875,2503.9475890985327
Base,allenai/OLMo-2-0425-1B,mmlu_pro,MMLU-Pro,auto,raw,50,500,500,12,488,235,313,235,0,0,0,0.024,0.47,0.626,1.0,0.7507987220447284,0.0,2481.982,3880.285106382979,2538.1413934426228
Base,allenai/OLMo-2-0425-1B,livecodebench,LiveCodeBench release_v6,auto,raw,50,500,500,0,500,117,475,117,0,0,0,0.0,0.234,0.95,1.0,0.2463157894736842,0.0,3064.044,3110.2991452991455,3064.044
SFT,allenai/OLMo-2-0425-1B-SFT,math500,MATH-500,auto,chat_template,50,500,500,71,429,13,34,12,0,0,0,0.142,0.026,0.068,0.9230769230769231,0.35294117647058826,0.0,808.764,3839.3846153846152,853.955710955711
SFT,allenai/OLMo-2-0425-1B-SFT,aime,AIME 2024/2025,auto,chat_template,50,500,500,0,500,49,79,46,0,0,0,0.0,0.098,0.158,0.9387755102040817,0.5822784810126582,0.0,1532.874,3899.5102040816328,1532.874
SFT,allenai/OLMo-2-0425-1B-SFT,gpqa,GPQA Diamond,auto,chat_template,50,500,500,94,406,36,45,33,0,0,0,0.188,0.072,0.09,0.9166666666666666,0.7333333333333333,0.0,622.35,3717.5833333333335,728.2192118226601
SFT,allenai/OLMo-2-0425-1B-SFT,mmlu_pro,MMLU-Pro,auto,chat_template,50,500,500,44,456,15,15,13,0,0,0,0.088,0.03,0.03,0.8666666666666667,0.8666666666666667,0.0,305.632,3618.266666666667,325.2105263157895
SFT,allenai/OLMo-2-0425-1B-SFT,livecodebench,LiveCodeBench release_v6,auto,chat_template,50,500,500,0,500,37,48,37,0,0,0,0.0,0.074,0.096,1.0,0.7708333333333334,0.0,456.65,3509.6216216216217,456.65
RLVR1,allenai/OLMo-2-0425-1B-RLVR1,math500,MATH-500,auto,chat_template,50,500,500,99,401,9,7,7,0,0,0,0.198,0.018,0.014,0.7777777777777778,1.0,0.0,560.362,3589.1111111111113,606.216957605985
RLVR1,allenai/OLMo-2-0425-1B-RLVR1,aime,AIME 2024/2025,auto,chat_template,50,500,500,7,493,8,15,8,0,0,0,0.014,0.016,0.03,1.0,0.5333333333333333,0.0,1043.988,3901.375,1048.474645030426
RLVR1,allenai/OLMo-2-0425-1B-RLVR1,gpqa,GPQA Diamond,auto,chat_template,50,500,500,41,459,5,11,5,0,0,0,0.082,0.01,0.022,1.0,0.45454545454545453,0.0,393.208,3920.4,392.87799564270153
RLVR1,allenai/OLMo-2-0425-1B-RLVR1,mmlu_pro,MMLU-Pro,auto,chat_template,50,500,500,10,490,22,24,22,0,0,0,0.02,0.044,0.048,1.0,0.9166666666666666,0.0,408.962,3880.681818181818,415.11632653061224
RLVR1,allenai/OLMo-2-0425-1B-RLVR1,livecodebench,LiveCodeBench release_v6,auto,chat_template,50,500,500,1,499,4,4,4,0,0,0,0.002,0.008,0.008,1.0,1.0,0.0,437.098,3684.25,437.4008016032064
Instruct,allenai/OLMo-2-0425-1B-Instruct,math500,MATH-500,auto,chat_template,50,500,500,99,401,12,15,12,0,0,0,0.198,0.024,0.03,1.0,0.8,0.0,610.566,3986.8333333333335,676.9451371571072
Instruct,allenai/OLMo-2-0425-1B-Instruct,aime,AIME 2024/2025,auto,chat_template,50,500,500,0,500,27,36,27,0,0,0,0.0,0.054,0.072,1.0,0.75,0.0,1108.952,3858.4814814814813,1108.952
Instruct,allenai/OLMo-2-0425-1B-Instruct,gpqa,GPQA Diamond,auto,chat_template,50,500,500,53,447,21,44,21,0,0,0,0.106,0.042,0.088,1.0,0.4772727272727273,0.0,677.676,3890.4761904761904,718.6241610738255
Instruct,allenai/OLMo-2-0425-1B-Instruct,mmlu_pro,MMLU-Pro,auto,chat_template,50,500,500,18,482,70,93,69,0,0,0,0.036,0.14,0.186,0.9857142857142858,0.7419354838709677,0.0,991.66,3840.2,1020.7282157676349
Instruct,allenai/OLMo-2-0425-1B-Instruct,livecodebench,LiveCodeBench release_v6,auto,chat_template,50,500,500,0,500,3,2,2,0,0,0,0.0,0.006,0.004,0.6666666666666666,1.0,0.0,421.302,2636.3333333333335,421.302
