dataset,layer,num_rows,mean_prev_loop_mass,mean_last_prev_loop_mass,mean_prompt_mass,mean_current_trigger_mass,mean_recent_nonloop_mass,top1_fraction_previous_loop,top1_fraction_last_previous_loop,top1_fraction_prompt,top1_fraction_current_trigger,top1_fraction_recent_nonloop
aime,0,2,0.28156422078609467,0.059782108291983604,0.001817939686588943,0.4440690577030182,0.057286586612463,0.0,0.0,0.0,0.9375,0.0625
aime,1,2,0.18905508518218994,0.049386290833353996,0.007763049332424998,0.5620161294937134,0.03998127579689026,0.0625,0.0625,0.03125,0.84375,0.0625
aime,2,2,0.24292898923158646,0.07260736357420683,0.0054388935677707195,0.5633307695388794,0.036333754658699036,0.0625,0.0,0.0,0.84375,0.03125
aime,3,2,0.08119810186326504,0.026821130886673927,0.6075177788734436,0.21827837824821472,0.010257533751428127,0.0,0.0,0.8125,0.1875,0.0
aime,4,2,0.07817644812166691,0.02685560379177332,0.40950699150562286,0.4371843487024307,0.013342350721359253,0.0,0.0,0.625,0.375,0.0
aime,5,2,0.04137064516544342,0.01836781215388328,0.5481722950935364,0.3787555545568466,0.01120129693299532,0.0,0.0,0.875,0.125,0.0
aime,6,2,0.23116955161094666,0.07459656801074743,0.2615586519241333,0.3790515065193176,0.013516830280423164,0.03125,0.0,0.59375,0.375,0.0
aime,7,2,0.047138926573097706,0.01861222635488957,0.42184366285800934,0.470846951007843,0.007253438699990511,0.0,0.0,0.6875,0.3125,0.0
aime,8,2,0.09737437032163143,0.024594962131232023,0.37873682379722595,0.3834109306335449,0.012384445406496525,0.03125,0.03125,0.65625,0.28125,0.0
aime,9,2,0.06077164877206087,0.02353971090633422,0.3997103124856949,0.41977784037590027,0.007608817424625158,0.0,0.0,0.71875,0.25,0.0
aime,10,2,0.08654664549976587,0.025782141601666808,0.3023683428764343,0.5065532326698303,0.019363049417734146,0.0,0.0,0.65625,0.34375,0.0
aime,11,2,0.165240366011858,0.04487489257007837,0.22642075270414352,0.42908377945423126,0.005451335571706295,0.0,0.0,0.59375,0.34375,0.0
aime,12,2,0.17247958295047283,0.04411168396472931,0.22568649053573608,0.4856858104467392,0.012239811941981316,0.0,0.0,0.65625,0.34375,0.0
aime,13,2,0.23372340947389603,0.029386575799435377,0.10974995046854019,0.41864416003227234,0.01846667192876339,0.0625,0.0,0.40625,0.53125,0.0
aime,14,2,0.23839956521987915,0.03376819659024477,0.12486182898283005,0.38718730211257935,0.018248211592435837,0.03125,0.0,0.40625,0.53125,0.0
aime,15,2,0.12110303714871407,0.023310430347919464,0.29097341001033783,0.432676300406456,0.01655251905322075,0.0,0.0,0.75,0.25,0.0
aime,16,2,0.23644549399614334,0.03146728500723839,0.15428416430950165,0.34079866111278534,0.026797069236636162,0.0625,0.0,0.46875,0.4375,0.0
aime,17,2,0.14430607855319977,0.023666369845159352,0.24973298609256744,0.33708713948726654,0.011642870493233204,0.0,0.0,0.75,0.21875,0.0
aime,18,2,0.15669779106974602,0.024987096898257732,0.23010674118995667,0.371821328997612,0.015039568766951561,0.03125,0.0,0.75,0.21875,0.0
aime,19,2,0.11062500439584255,0.029713436728343368,0.2900388240814209,0.46028244495391846,0.009681399911642075,0.0,0.0,0.53125,0.46875,0.0
aime,20,2,0.10566052421927452,0.025675851851701736,0.3948919028043747,0.34399570524692535,0.008539598435163498,0.0,0.0,0.6875,0.3125,0.0
aime,21,2,0.09897354058921337,0.02468977030366659,0.5417653024196625,0.19013669341802597,0.009531772695481777,0.0,0.0,0.84375,0.15625,0.0
aime,22,2,0.08066190406680107,0.015423757024109364,0.5662075281143188,0.19104620069265366,0.008688386529684067,0.0,0.0,0.9375,0.0625,0.0
aime,23,2,0.08493584208190441,0.011476670391857624,0.5988353192806244,0.1960512027144432,0.004425560124218464,0.0,0.0,0.875,0.09375,0.0
aime,24,2,0.10003724880516529,0.01644804677926004,0.4567645192146301,0.24447819590568542,0.007396378554403782,0.0,0.0,0.75,0.25,0.0
aime,25,2,0.0926448293030262,0.009811754687689245,0.6999005079269409,0.06913614086806774,0.0038683265447616577,0.0,0.0,0.875,0.0625,0.0
aime,26,2,0.06666957773268223,0.013356226030737162,0.6244753301143646,0.1583445593714714,0.007554822601377964,0.0,0.0,0.84375,0.15625,0.0
aime,27,2,0.03511334303766489,0.006773191737011075,0.7235777974128723,0.16951284557580948,0.007275872863829136,0.0,0.0,0.9375,0.0625,0.0
gpqa,0,3,0.1629763493935267,0.04122181485096613,0.013831992323199907,0.6558449864387512,0.08561121575379123,0.0,0.0,0.020833333333333332,0.9375,0.041666666666666664
gpqa,1,3,0.2751229206720988,0.06277888392408688,0.056229252368211746,0.5108096301555634,0.08020917341733973,0.0625,0.020833333333333332,0.10416666666666667,0.7916666666666666,0.041666666666666664
gpqa,2,3,0.26064082483450574,0.0755336123208205,0.04252895216147105,0.5638627807299296,0.0720331411381873,0.10416666666666667,0.041666666666666664,0.020833333333333332,0.8125,0.041666666666666664
gpqa,3,3,0.09539340436458588,0.018984214092294376,0.6671281655629476,0.15414204075932503,0.031195911578834057,0.041666666666666664,0.020833333333333332,0.8333333333333334,0.125,0.0
gpqa,4,3,0.11129992206891377,0.03152064637591442,0.4757607082525889,0.3697081009546916,0.029556397397148732,0.020833333333333332,0.0,0.6458333333333334,0.3333333333333333,0.0
gpqa,5,3,0.04943362313012282,0.02159019388879339,0.5691715180873871,0.33035625517368317,0.03779579060210381,0.0,0.0,0.7916666666666666,0.20833333333333334,0.0
gpqa,6,3,0.27150269349416095,0.08062596743305524,0.37050488591194153,0.23433316250642142,0.05328207121541103,0.08333333333333333,0.0625,0.5833333333333334,0.25,0.041666666666666664
gpqa,7,3,0.09967782472570737,0.03812370138863722,0.4126788278420766,0.38657105962435406,0.0636609048039342,0.0,0.0,0.8125,0.16666666666666666,0.020833333333333332
gpqa,8,3,0.19345989326635996,0.04912305405984322,0.38728954394658405,0.2666783183813095,0.06320906849578023,0.020833333333333332,0.020833333333333332,0.75,0.20833333333333334,0.020833333333333332
gpqa,9,3,0.10417380308111508,0.032216508872807026,0.42729222774505615,0.3472019632657369,0.04496920254314318,0.020833333333333332,0.0,0.6875,0.2708333333333333,0.0
gpqa,10,3,0.12114744260907173,0.042732819293936096,0.31585537393887836,0.43114091952641803,0.06721072640114774,0.0,0.0,0.7708333333333334,0.22916666666666666,0.0
gpqa,11,3,0.25237832466761273,0.04467230352262656,0.23377830783526102,0.32800614833831787,0.045779660965005554,0.041666666666666664,0.0,0.5625,0.3333333333333333,0.0
gpqa,12,3,0.19713116685549417,0.05310853446523348,0.2728130966424942,0.36339378356933594,0.06850514793768525,0.0,0.0,0.8125,0.14583333333333334,0.0
gpqa,13,3,0.23894131183624268,0.042076695089538894,0.16539110243320465,0.38020559151967365,0.05732870427891612,0.020833333333333332,0.0,0.4583333333333333,0.4166666666666667,0.0
gpqa,14,3,0.219917560617129,0.037954465175668396,0.2987002531687419,0.30896317958831787,0.04946940757023791,0.020833333333333332,0.0,0.6458333333333334,0.2708333333333333,0.0
gpqa,15,3,0.14361415803432465,0.02959307748824358,0.36818384130795795,0.34902748465538025,0.049180382397025824,0.0,0.0,0.8125,0.1875,0.0
gpqa,16,3,0.1948825567960739,0.026686360128223896,0.2514166831970215,0.24021569887797037,0.0779407846275717,0.0625,0.0,0.5833333333333334,0.2708333333333333,0.0
gpqa,17,3,0.19540389875570932,0.027519567714383204,0.3595423797766368,0.25410837431748706,0.03688907568963865,0.020833333333333332,0.0,0.7916666666666666,0.1875,0.0
gpqa,18,3,0.16311565786600113,0.02968493631730477,0.31576185921827954,0.27487918734550476,0.06677471691121657,0.0,0.0,0.7083333333333334,0.20833333333333334,0.041666666666666664
gpqa,19,3,0.13791063924630484,0.029586405493319035,0.4293665687243144,0.32489701608816784,0.025597980633998912,0.0,0.0,0.7083333333333334,0.2916666666666667,0.0
gpqa,20,3,0.13411416610081991,0.017396000834802788,0.4802037477493286,0.19758268942435583,0.04383684477458397,0.0,0.0,0.7291666666666666,0.1875,0.08333333333333333
gpqa,21,3,0.08157267545660336,0.01263897136474649,0.659565269947052,0.09430530791481335,0.04016747325658798,0.020833333333333332,0.0,0.8958333333333334,0.020833333333333332,0.0625
gpqa,22,3,0.10229385892550151,0.018608752948542435,0.6189360618591309,0.15348535279432932,0.02931234861413638,0.0,0.0,0.9583333333333334,0.041666666666666664,0.0
gpqa,23,3,0.10774288078149159,0.013152866003413996,0.6804972688357035,0.14206107209126154,0.010020449524745345,0.020833333333333332,0.0,0.8125,0.14583333333333334,0.0
gpqa,24,3,0.10005507369836171,0.013635113990555206,0.6634518305460612,0.1324955311914285,0.017155386973172426,0.0,0.0,0.9375,0.0625,0.0
gpqa,25,3,0.11132094264030457,0.011758096205691496,0.7277998725573221,0.05449307213226954,0.009185219183564186,0.020833333333333332,0.0,0.9166666666666666,0.020833333333333332,0.0
gpqa,26,3,0.07713148246208827,0.009176422376185656,0.6969340840975443,0.0841312079379956,0.015480445969539383,0.0,0.0,0.9166666666666666,0.041666666666666664,0.0
gpqa,27,3,0.03830449655652046,0.008449068292975426,0.7551368673642477,0.1540922075510025,0.01888362513273023,0.0,0.0,0.9166666666666666,0.08333333333333333,0.0
livecodebench,0,3,0.3238871693611145,0.14312473312020302,0.025281686956683796,0.5795277754465739,0.0468516598145167,0.0,0.0,0.0,0.9583333333333334,0.041666666666666664
livecodebench,1,3,0.37682997186978656,0.18161334842443466,0.0812179980178674,0.5102772812048594,0.03377227236827215,0.125,0.0625,0.10416666666666667,0.7083333333333334,0.041666666666666664
livecodebench,2,3,0.41896551847457886,0.16506328185399374,0.04495141779383024,0.4420766234397888,0.05739577611287435,0.125,0.020833333333333332,0.0,0.75,0.0625
livecodebench,3,3,0.20472565293312073,0.07599067936340968,0.5670735538005829,0.16885190457105637,0.028535505135854084,0.0625,0.0,0.8125,0.125,0.0
